nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;12.682859046;;;;
Travail et emploi;20.009644101;;;;
Intérieur;32.287057955;;0.3625206;;
Europe et affaires étrangères;6.171927815;;;;
Logement et rénovation urbaine;22.79794042;;;;
Économie, finances et industrie;63.715914013;;4.4155;11.617402;
Partenariat avec les territoires et décentralisation;13.987325702;2.33017664;0.776778;0.2255;
Transition écologique, énergie, climat et prévention des risques;14.107377511;;0.3653;;
Outre-Mer;2.98013141;;;;
Services du Premier ministre;7.346425889;0.14902742;;;
Culture;4.638031392;;;;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.308625456;;;;
Éducation nationale;86.929797333;;;;
Agriculture, souveraineté alimentaire et forêt;6.349691252;;0.146;;
Armées et anciens combattants;61.788132575;;;;
Fonction publique, simplification et transformation de l'action publique;0.422067283;;;;
Enseignement supérieur et recherche;26.845867024;;;;
Budget et comptes publics;166.047463094;;70.364365496;138.0363365;
Sports, jeunesse et vie associative;1.498657421;;;;
Santé et accès aux soins;1.482029607;;;;
