nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Économie, Finances et Souveraineté industrielle et numérique;231.56340698;;76.186432343;146.112223;
Armées et anciens combattants;68.535392645;;;;
Transition écologique, biodiversité, forêt, mer et pêche;14.803622065;;;;
Culture;4.438038859;;;3.8783165;
Aménagement du territoire et de la décentralisation;35.030722725;2.425535398;0.806735;0.15;
Services du Premier ministre;7.678790847;0.14741375;;;
Outre-Mer;2.8269701;;;;
Intérieur;33.225006094;;0.3705206;;
Travail, Santé, Solidarités et Familles;48.708456447;;;;
Action publique, fonction publique et simplification;0.321019087;;;;
Europe et affaires étrangères;5.737356029;;;;
Justice;13.054858028;;;;
Éducation nationale, enseignement supérieur et recherche;114.950706692;;;;
Agriculture et souveraineté alimentaire;6.148665226;;0.171;;
Sports, jeunesse et vie associative;1.235856999;;;;
