Champs;Description;Xpath
Declaration;Nœud mère de la déclaration;/declaration
Date de dépôt;Date de dépôt de la déclaration sur le téléservice;/declaration/dateDepot
UUID;Identifiant Universel Unique;/declaration/uuid
Origine;Téléservice utilisé par déposer la déclaration;/declaration/origine
Complete;Déclaration complète ou non;/declaration/complete
Pièces jointes;Pièces jointes de la déclaration;/declaration/attachedFiles/attachedFiles
Nom du fichier;Nom du fichier de la pièce jointe;/declaration/attachedFiles/attachedFiles/fileName
Nom du fichier sur le serveur;Nom du fichier sur le serveur de la pièce jointe;/declaration/attachedFiles/attachedFiles/serverFileName
Activités de consultant;Liste des activités de consultant;/declaration/activConsultantDto
ID;;/declaration/activConsultantDto/items/items/motif/id
Label;;/declaration/activConsultantDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/activConsultantDto/items/items/commentaire
Conservee;Indique si l'activité est conservée;/declaration/activConsultantDto/items/items/conservee
Nom de l'employeur;Nom de l'employeur pour l'activité;/declaration/activConsultantDto/items/items/nomEmployeur
Description;Description de l'activité;/declaration/activConsultantDto/items/items/description
Date de début;Date de début de l'activité;/declaration/activConsultantDto/items/items/dateDebut
Date de fin;Date de fin de l'activité;/declaration/activConsultantDto/items/items/dateFin
Type de rémunération;Brut ou Net;/declaration/activConsultantDto/items/items/remuneration/brutNet
Montant de la rémunération;Montant;/declaration/activConsultantDto/items/items/remuneration/montant/montant/annee
Année;Année pour la rémunération;/declaration/activConsultantDto/items/items/remuneration/montant/montant/montant
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/activConsultantDto/neant
Activités professionnelles;;/declaration/activProfCinqDerniereDto
ID;;/declaration/activProfCinqDerniereDto/items/items/motif/id
Label;;/declaration/activProfCinqDerniereDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/activProfCinqDerniereDto/items/items/commentaire
Conservee;Indique si l'activité est conservée;/declaration/activProfCinqDerniereDto/items/items/conservee
Description;Description de l'activité;/declaration/activProfCinqDerniereDto/items/items/description
Nom de l'employeur;Nom de l'employeur pour l'activité;/declaration/activProfCinqDerniereDto/items/items/employeur
Type de rémunération;Brut ou Net;/declaration/activProfCinqDerniereDto/items/items/remuneration/brutNet
Année;Année pour la rémunération;/declaration/activProfCinqDerniereDto/items/items/remuneration/montant/montant/annee
Montant de la rémunération;Montant;/declaration/activProfCinqDerniereDto/items/items/remuneration/montant/montant/montant
Date de début;Date de début de l'activité;/declaration/activProfCinqDerniereDto/items/items/dateDebut
Date de fin;Date de fin de l'activité;/declaration/activProfCinqDerniereDto/items/items/dateFin
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/activProfCinqDerniereDto/neant
Activités professionnelles du conjoint; ;/declaration/activProfConjointDto
ID;;/declaration/activProfConjointDto/items/items/motif/id
Label;;/declaration/activProfConjointDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/activProfConjointDto/items/items/commentaire
Nom;Nom du conjoint;/declaration/activProfConjointDto/items/items/nomConjoint
Employeur;Employeur du conjoint;/declaration/activProfConjointDto/items/items/employeurConjoint
Description de l’activité professionnelle;Description de l’activité professionnelle du conjoint;/declaration/activProfConjointDto/items/items/activiteProf
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/activProfConjointDto/neant
Fonctions bénévoles;;/declaration/fonctionBenevoleDto
ID;;/declaration/fonctionBenevoleDto/items/items/motif/id
Label;;/declaration/fonctionBenevoleDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/fonctionBenevoleDto/items/items/commentaire
Conservee;Indique si l'activité est conservée;/declaration/fonctionBenevoleDto/items/items/conservee
Nom;Nom et objet de la structure ou de la personne morale;/declaration/fonctionBenevoleDto/items/items/nomStructure
Description;Description des activités et responsabilités exercées;/declaration/fonctionBenevoleDto/items/items/descriptionActivite
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/fonctionBenevoleDto/neant
Fonctions et mandats électifs;;/declaration/mandatElectifDto
ID;;/declaration/mandatElectifDto/items/items/motif/id
Label;;/declaration/mandatElectifDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/mandatElectifDto/items/items/commentaire
Conservee;Indique si l'activité est conservée;/declaration/mandatElectifDto/items/items/conservee
Description;Identification de la fonction élective ou du mandat;/declaration/mandatElectifDto/items/items/descriptionMandat
Type de rémunération;Brut ou Net;/declaration/mandatElectifDto/items/items/remuneration/brutNet
Année;Année pour la rémunération;/declaration/mandatElectifDto/items/items/remuneration/montant/montant/annee
Montant de la rémunération;Montant;/declaration/mandatElectifDto/items/items/remuneration/montant/montant/montant
Date de début;Date de début de l'activité;/declaration/mandatElectifDto/items/items/dateDebut
Date de fin;Date de fin de l'activité;/declaration/mandatElectifDto/items/items/dateFin
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/mandatElectifDto/neant
Participations aux organes dirigeants;;/declaration/participationDirigeantDto
ID;;/declaration/participationDirigeantDto/items/items/motif/id
Label;;/declaration/participationDirigeantDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/participationDirigeantDto/items/items/commentaire
Conservee;Indique si l'activité est conservée;/declaration/participationDirigeantDto/items/items/conservee
Nom de la société;"Identification de l’organisme public
ou privé ou de la société ";/declaration/participationDirigeantDto/items/items/nomSociete
Description;Description de l’activité;/declaration/participationDirigeantDto/items/items/activite
Type de rémunération;Brut ou Net;/declaration/participationDirigeantDto/items/items/remuneration/brutNet
Année;Année pour la rémunération;/declaration/participationDirigeantDto/items/items/remuneration/montant/montant/annee
Montant de la rémunération;Montant;/declaration/participationDirigeantDto/items/items/remuneration/montant/montant/montant
Date de début;Date de début de l'activité;/declaration/participationDirigeantDto/items/items/dateDebut
Date de fin;Date de fin de l'activité;/declaration/participationDirigeantDto/items/items/dateFin
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/participationDirigeantDto/neant
Participations financières directes;;/declaration/participationFinanciereDto
ID;;/declaration/participationFinanciereDto/items/items/motif/id
Label;;/declaration/participationFinanciereDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/participationFinanciereDto/items/items/commentaire
Nom de la société;Identification de la société;/declaration/participationFinanciereDto/items/items/nomSociete
Evalutation;Évaluation de la participation financière;/declaration/participationFinanciereDto/items/items/evaluation
Rémunération;Rémunération ou gratification perçue;/declaration/participationFinanciereDto/items/items/remuneration
Capital détenu;Pourcentage du capital détenu;/declaration/participationFinanciereDto/items/items/capitalDetenu
Nombre de parts;Nombre de parts;/declaration/participationFinanciereDto/items/items/nombreParts
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/participationFinanciereDto/neant
Les collaborateurs parlementaires;;/declaration/activCollaborateursDto
ID;;/declaration/activCollaborateursDto/items/items/motif/id
Label;;/declaration/activCollaborateursDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/activCollaborateursDto/items/items/commentaire
Nom;Nom et prénom du collaborateur;/declaration/activCollaborateursDto/items/items/nom
Employeur;Identification des autres employeurs ou structures sociales d’emploi;/declaration/activCollaborateursDto/items/items/employeur
Description;Description des activités professionnelles;/declaration/activCollaborateursDto/items/items/descriptionActivite
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/activCollaborateursDto/neant
Observations;;/declaration/observationInteretDto
ID;;/declaration/observationInteretDto/items/items/motif/id
Label;;/declaration/observationInteretDto/items/items/motif/label
Commentaire;Commentaire du déclarant sur la rubrique;/declaration/observationInteretDto/items/items/commentaire
Contenu;Observations du déclarant;/declaration/observationInteretDto/items/items/contenu
Néant;Indique que le déclarant précise ne rien avoir à déclarer;/declaration/observationInteretDto/neant
Informations générales;;/declaration/general
